[0x00002748] | DtManager            | INFO  | 2017-09-28 01:34:01,191 | Dt Worker Thread Started
[0x00000f94] | DtManager            | INFO  | 2017-09-28 01:34:01,192 | Dt Worker Thread Started
[0x0000201c] | DtManager            | INFO  | 2017-09-28 01:34:01,193 | Dt Worker Thread Started
[0x00002060] | DtManager            | INFO  | 2017-09-28 01:34:01,195 | Dt Worker Thread Started
[0x00002028] | DtManager            | INFO  | 2017-09-28 01:34:01,197 | Dt Worker Thread Started
[0x00001cc4] | DtManager            | INFO  | 2017-09-28 01:34:01,198 | Dt Worker Thread Started
[0x00001e94] | GPUManager           | INFO  | 2017-09-28 01:34:01,206 | Let There Be OpenCL Light!
[0x00001e94] | GPUManager           | INFO  | 2017-09-28 01:34:01,207 | Start detecting OpenCL boards
[0x00001e94] | GPUManager           | INFO  | 2017-09-28 01:34:01,207 | Found qualified OpenCL board 0: platform - Intel(R) OpenCL, vendor - Intel(R) Corporation, device name - Intel(R) Iris(TM) Graphics 540 id - 00000264DE374A60, global memory size (MB) - 6496, local memory size (KB) - 64, max global memory alloc size (MB) - 2047
[0x00001e94] | GPUManager           | INFO  | 2017-09-28 01:34:01,207 | Skipping unsupported device Intel(R) Core(TM) i7-6560U CPU @ 2.20GHz
[0x00001e94] | GPUManager           | INFO  | 2017-09-28 01:34:01,208 | 1 OpenCL boards detected
[0x000022ec] | DbCommon2            | INFO  | 2017-09-28 01:34:01,208 | Creating default dblist file: C:\ProgramData\Blackmagic Design\DaVinci Resolve\Preferences\dblist.conf
[0x000010cc] | GPUManager           | INFO  | 2017-09-28 01:34:01,211 | Initializing GPU board 0 with context thread 0
[0x000010cc] | UI.GLInterOp         | INFO  | 2017-09-28 01:34:01,211 | Waiting for shared OpenGL context to be set.
[0x000022ec] | DbCommon2            | INFO  | 2017-09-28 01:34:01,215 | Loading dblist file: C:\ProgramData\Blackmagic Design\DaVinci Resolve\Preferences\dblist.conf
[0x000022ec] | Main                 | INFO  | 2017-09-28 01:34:01,217 | Running DaVinci Resolve v14.0.0.078 (Windows)
[0x000022ec] | IO                   | INFO  | 2017-09-28 01:34:01,279 | Using DNxHR library v2.3.3.39r
[0x00002030] | SyManager            | ERROR | 2017-09-28 01:34:02,371 | socket failed to connect to server, error: 10061

[0x00002030] | SyManager            | ERROR | 2017-09-28 01:34:02,372 | DRIVER: panel connection failed
[0x00002030] | SyManager            | WARN  | 2017-09-28 01:34:02,374 | Failed to load user preferences.
[0x00002030] | SyManager            | ERROR | 2017-09-28 01:34:03,400 | socket failed to connect to server, error: 10061

[0x000022ec] | DVIP                 | INFO  | 2017-09-28 01:34:03,971 | DVIP Version : 1.0, Revision = 65521 (Release)
[0x000022ec] | Fairlight            | INFO  | 2017-09-28 01:34:05,098 | RtMidi Output Port #1: Microsoft GS Wavetable Synth 0
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:12,814 | Missing ActionDefinition for fileEnableDisableCollaboration
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:12,844 | Missing ActionDefinition for helpDeactivateLicense
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:12,845 | Missing ActionDefinition for workspaceRemoteRendering
[0x000022ec] | DbCommon2            | INFO  | 2017-09-28 01:34:12,959 | Sm2SysIdEntry is not supported in disk database (xml) mode
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,115 | Binding 'Alt+Shift+T' for unknown action fileCollaborationPublish
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,115 | Binding 'Ctrl+Shift+T' for unknown action fileCollaborationPublishSelected
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,115 | Binding 'Alt+Shift+U' for unknown action fileCollaborationUpdate
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,116 | Binding 'Ctrl+Shift+U' for unknown action fileCollaborationUpdateSelected
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,133 | Binding 'Ctrl+G' for unknown action workspaceRemoteGrading
