"{""identifier""",GrooveMotionKZqMNmEM9dI,UC8P2L4r8Ia8kz1MivPj5lmA,,
"{""identifier""",IMG1923_201709,"[""stones"", ""background"", ""video""]}",,
"{""identifier""",IMG1935,Hutut,,
"{""identifier""",IMG1950,Hddd,,
"{""identifier""",IMG1966_201710,"[""Story"", ""film""]}",,
"{""identifier""",IMG1966_20171027,"[""Video"", ""storytelling""]}",,
"{""identifier""",IMG1968_201710,Audio sync,,
"{""identifier""",IMG1976_201710,Autocorrect lol!just mashed keys,,
"{""identifier""",IMG2158_201804,"[""Selfie"", ""new media""]}",,
"{""identifier""",IndustrySapphireIndustryFuturamerlinID10457,"[""music"", ""noise"", ""musique concr\u00e8te"", ""electronic"", ""electronic music"", ""experimental"", ""industrial"", ""soundscape"", ""harsh noise"", ""Futuramerlin"", ""(elliot dreaming)""]}",,
"{""identifier""",input-compressed-2015mar28a29,"[""Traditional"", ""Diane Wolkstein and Samuel Noah Kramer"", ""Traditional and Diane Wolkstein and Samuel Noah Kramer"", ""Traditional"", ""Diane Wolkstein"", ""Samuel Noah Kramer"", ""Kramer"", ""Wolkstein"", ""Inanna"", ""Inanna",Queen of Heaven and Earth,"Her Stories and Hymns from Sumer"", ""book""]}"
"{""identifier""",JakeGebhartAudioBip,"[""trumpet"", ""music"", ""interview""]}",,
"{""identifier""",LetsTryToPlayPerfectWorldInternational,"[""Perfect World International"", ""PWI"", ""Let's Play"", ""gaming"", ""computer gaming"", ""MMO""]}",,
"{""identifier""",lienu-virginia-compressed-2015apr17,Lienu,,
"{""identifier""",MashupPourDrunkNeeding,"[""mashup"", ""trap"", ""dubstep"", ""trapstep"", ""daycore"", ""EDM""]}",,
"{""identifier""",MashupPourDrunkNeedingAudio,"[""mashup"", ""trap"", ""dubstep"", ""trapstep"", ""daycore"", ""EDM""]}",,
"{""identifier""",McScuse_me__Beats,"[""Elliot Chandler"", ""Futuramerlin"", ""music"", ""trap"", ""electronic"", ""electronic dance music"", ""EDM""]}",,
"{""identifier""",Milestones_201502,"[""Sayyid Qu\u1e6db"", ""Milestones"", ""Islam""]}",,
"{""identifier""",mojikyourls-2015jan02,Mojikyo,,
"{""identifier""",MovieOn2017.09.27At16.46.53.75200.0400,video,,
"{""identifier""",mrif-fixed-2015dec13n2,,,
