@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
83,'2018/03/13 16:15:14:645',1,519,163,0.41,0.38,0.065061
84,'2018/03/13 16:15:14:662',1,519,163,0.41,0.38,0.065061
85,'2018/03/13 16:15:14:679',1,519,163,0.41,0.38,0.065061
86,'2018/03/13 16:15:14:695',1,519,163,0.41,0.38,0.065061
87,'2018/03/13 16:15:14:712',1,519,163,0.41,0.38,0.065061
88,'2018/03/13 16:15:14:729',1,519,163,0.41,0.38,0.065061
89,'2018/03/13 16:15:14:745',1,519,163,0.41,0.38,0.065061
90,'2018/03/13 16:15:14:762',1,519,163,0.41,0.38,0.065061
91,'2018/03/13 16:15:14:779',1,519,163,0.41,0.38,0.065061
92,'2018/03/13 16:15:14:795',1,519,163,0.41,0.38,0.065061
93,'2018/03/13 16:15:14:812',1,519,163,0.41,0.38,0.065061
94,'2018/03/13 16:15:14:829',1,519,163,0.41,0.38,0.065061
95,'2018/03/13 16:15:14:845',1,519,163,0.41,0.38,0.065061
96,'2018/03/13 16:15:14:862',1,519,163,0.41,0.38,0.065061
97,'2018/03/13 16:15:14:879',1,519,163,0.41,0.38,0.065061
98,'2018/03/13 16:15:14:895',1,519,163,0.41,0.38,0.065061
99,'2018/03/13 16:15:14:912',1,519,163,0.41,0.38,0.065061
100,'2018/03/13 16:15:14:929',1,519,163,0.41,0.38,0.065061
101,'2018/03/13 16:15:14:945',1,519,163,0.41,0.38,0.065061
102,'2018/03/13 16:15:14:962',1,519,163,0.41,0.38,0.065061
103,'2018/03/13 16:15:14:979',1,519,163,0.41,0.38,0.065061
104,'2018/03/13 16:15:14:995',1,519,163,0.41,0.38,0.065061
105,'2018/03/13 16:15:15:012',1,519,163,0.41,0.38,0.065061
106,'2018/03/13 16:15:15:029',1,519,163,0.41,0.38,0.065061
107,'2018/03/13 16:15:15:045',1,519,163,0.41,0.38,0.065061
108,'2018/03/13 16:15:15:062',1,519,163,0.41,0.38,0.065061
109,'2018/03/13 16:15:15:079',1,519,163,0.41,0.38,0.065061
110,'2018/03/13 16:15:15:095',1,519,163,0.41,0.38,0.065061
111,'2018/03/13 16:15:15:112',1,519,163,0.41,0.38,0.065061
112,'2018/03/13 16:15:15:129',1,519,163,0.41,0.38,0.065061
113,'2018/03/13 16:15:15:145',1,519,163,0.41,0.38,0.065061
114,'2018/03/13 16:15:15:162',1,519,163,0.41,0.38,0.065061
115,'2018/03/13 16:15:15:179',1,519,163,0.41,0.38,0.065061
116,'2018/03/13 16:15:15:195',1,519,163,0.41,0.38,0.065061
117,'2018/03/13 16:15:15:212',1,519,163,0.41,0.38,0.065061
118,'2018/03/13 16:15:15:229',1,519,163,0.41,0.38,0.065061
119,'2018/03/13 16:15:15:245',1,519,163,0.41,0.38,0.065061
120,'2018/03/13 16:15:15:262',1,519,163,0.41,0.38,0.065061
121,'2018/03/13 16:15:15:279',1,519,163,0.41,0.38,0.065061
122,'2018/03/13 16:15:15:295',1,519,163,0.41,0.38,0.065061
123,'2018/03/13 16:15:15:312',1,519,163,0.41,0.38,0.065061
124,'2018/03/13 16:15:15:328',1,519,163,0.41,0.38,0.065061
125,'2018/03/13 16:15:15:345',1,519,163,0.41,0.38,0.065061
126,'2018/03/13 16:15:15:362',1,519,163,0.41,0.38,0.065061
127,'2018/03/13 16:15:15:379',1,519,163,0.41,0.38,0.065061
128,'2018/03/13 16:15:15:395',1,519,163,0.41,0.38,0.065061
129,'2018/03/13 16:15:15:412',1,519,163,0.41,0.38,0.065061
130,'2018/03/13 16:15:15:429',1,519,163,0.41,0.38,0.065061
131,'2018/03/13 16:15:15:445',1,519,163,0.41,0.38,0.065061
132,'2018/03/13 16:15:15:462',1,519,163,0.41,0.38,0.065061
133,'2018/03/13 16:15:15:479',1,519,163,0.41,0.38,0.065061
134,'2018/03/13 16:15:15:495',1,519,163,0.41,0.38,0.065061
135,'2018/03/13 16:15:15:512',1,519,163,0.41,0.38,0.065061
136,'2018/03/13 16:15:15:529',1,519,163,0.41,0.38,0.065061
137,'2018/03/13 16:15:15:545',1,519,163,0.41,0.38,0.065061
138,'2018/03/13 16:15:15:562',1,519,163,0.41,0.38,0.065061
139,'2018/03/13 16:15:15:579',1,519,163,0.41,0.38,0.065061
140,'2018/03/13 16:15:15:596',1,519,163,0.41,0.38,0.065061
141,'2018/03/13 16:15:41:793',2,69,392,0.08,0.28,0.39
142,'2018/03/13 16:15:41:810',2,69,392,0.08,0.28,0.39
143,'2018/03/13 16:15:41:830',2,69,392,0.08,0.28,0.39
144,'2018/03/13 16:15:41:843',2,69,392,0.08,0.28,0.39
145,'2018/03/13 16:15:41:860',2,69,392,0.08,0.28,0.39
146,'2018/03/13 16:15:41:876',2,69,392,0.08,0.28,0.39
147,'2018/03/13 16:15:41:893',2,69,392,0.08,0.28,0.39
148,'2018/03/13 16:15:41:910',2,69,392,0.08,0.28,0.39
149,'2018/03/13 16:15:41:926',2,69,392,0.08,0.28,0.39
150,'2018/03/13 16:15:41:943',2,69,392,0.08,0.28,0.39
151,'2018/03/13 16:15:41:960',2,69,392,0.08,0.28,0.39
152,'2018/03/13 16:15:41:976',2,69,392,0.08,0.28,0.39
153,'2018/03/13 16:15:41:993',2,69,392,0.08,0.28,0.39
154,'2018/03/13 16:15:42:010',2,69,392,0.08,0.28,0.39
155,'2018/03/13 16:15:42:026',2,69,392,0.08,0.28,0.39
